read_num_transformed,per_cost,travel_days,photo_num,person_num_三五好友,person_num_亲子,person_num_家庭,person_num_情侣,person_num_独自一人,person_num_闺蜜,is_weekend,title_length,playmode1,playmode2
2723.0,2000,1,57,0,0,0,0,1,0,1,9,1,0.0
1398.0,700,3,14,0,0,0,1,0,0,0,13,0,1.0
4905.0,853,3,24,1,0,0,0,0,0,1,18,0,1.0
6740.0,1500,4,25,0,0,0,1,0,0,0,7,1,0.0
1632.0,1000,3,13,0,0,0,1,0,0,0,5,0,1.0
1441.0,4000,4,32,0,0,0,1,0,0,0,5,0,1.0
3242.0,1800,4,26,0,0,0,1,0,0,1,11,0,1.0
804.0,3218,3,3,0,0,0,0,0,1,0,8,1,0.0
1058.0,700,1,1,0,0,0,0,1,0,0,10,0,1.0
1169.0,900,4,5,0,0,0,0,1,0,0,16,1,0.0
1266.0,4000,4,11,0,0,0,0,0,1,0,5,1,0.0
5399.0,2000,3,10,0,0,0,0,1,0,0,7,1,0.0
1734.0,1500,2,13,0,0,0,0,1,0,0,20,1,0.0
20000.0,1500,3,13,0,0,0,0,1,0,0,13,1,0.0
7613.0,1500,3,15,0,0,0,0,1,0,0,10,1,1.0
1231.0,3500,4,49,1,0,0,0,0,0,0,11,0,1.0
3816.0,300,1,19,1,0,0,0,0,0,0,8,0,1.0
4031.0,1104,5,0,0,1,0,0,0,0,0,10,0,1.0
1681.0,1500,0,0,1,0,0,0,0,0,0,8,0,1.0
1811.0,1500,3,17,0,0,0,0,1,0,0,11,1,1.0
12000.0,3500,4,294,0,0,1,0,0,0,1,15,1,1.0
891.0,1000,4,10,0,0,0,0,0,1,1,4,0,1.0
4875.0,1800,5,518,0,0,0,0,0,1,0,16,1,1.0
5109.0,800,3,27,0,0,0,1,0,0,0,13,1,1.0
28000.0,3500,5,163,1,0,0,0,0,0,0,13,1,1.0
2356.0,2000,3,18,0,0,0,0,1,0,0,18,1,0.0
3069.0,2581,6,43,0,0,1,0,0,0,0,8,0,1.0
77000.0,8000,6,502,0,0,0,0,1,0,0,15,1,1.0
58000.0,5000,8,349,0,1,0,0,0,0,0,13,0,1.0
20000.0,5000,3,218,0,0,1,0,0,0,0,11,1,1.0
6928.0,4200,8,237,0,0,0,0,1,0,0,20,1,0.0
