per_cost,travel_days,photo_num,person_num_三五好友,person_num_亲子,person_num_家庭,person_num_情侣,person_num_独自一人,person_num_闺蜜,is_weekend,title_length,z,playmode1,playmode2
3000,3,16,0,0,0,0,1,0,0,11,1.0,0,1.0
3000,6,199,0,1,0,0,0,0,0,8,1.0,0,1.0
650,4,16,0,0,0,0,1,0,0,13,1.0,1,1.0
6700,9,245,0,0,0,0,0,1,0,16,1.0,1,1.0
4200,4,297,0,0,0,0,0,1,0,15,1.0,1,1.0
4200,4,130,0,0,1,0,0,0,1,20,0.0,1,1.0
3000,5,75,0,0,0,0,0,1,0,14,1.0,1,1.0
3000,5,65,0,1,0,0,0,0,1,24,1.0,1,1.0
6000,5,251,0,0,1,0,0,0,0,15,1.0,1,1.0
5000,6,180,0,0,1,0,0,0,0,23,1.0,1,0.0
7500,5,257,0,0,0,1,0,0,1,17,1.0,1,1.0
3500,5,95,0,0,1,0,0,0,0,26,1.0,1,1.0
3000,6,33,0,0,0,1,0,0,1,20,1.0,1,1.0
2291,5,80,0,0,1,0,0,0,0,17,1.0,1,1.0
4000,7,239,1,0,0,0,0,0,1,30,0.0,1,1.0
3500,3,92,0,1,0,0,0,0,0,15,1.0,1,1.0
7000,8,119,0,0,0,1,0,0,0,17,1.0,1,1.0
3000,4,319,0,0,0,1,0,0,1,9,0.0,1,1.0
4000,2,294,0,0,1,0,0,0,1,19,0.0,1,1.0
10000,5,290,0,0,1,0,0,0,0,18,1.0,1,1.0
2100,6,17,0,0,1,0,0,0,0,19,1.0,0,1.0
4800,5,66,1,0,0,0,0,0,0,13,0.0,1,1.0
3000,5,132,0,0,0,0,1,0,1,11,1.0,0,1.0
3000,4,247,0,0,0,0,0,1,0,12,0.0,1,1.0
4000,6,167,0,0,0,1,0,0,0,19,1.0,1,1.0
2800,4,62,1,0,0,0,0,0,1,10,0.0,1,1.0
5000,7,126,0,1,0,0,0,0,1,12,1.0,1,1.0
2500,5,109,0,0,0,1,0,0,0,12,1.0,1,1.0
6300,6,125,0,0,0,1,0,0,0,22,1.0,1,1.0
3648,4,32,0,0,0,1,0,0,0,19,1.0,1,1.0
5000,6,256,0,0,1,0,0,0,0,24,0.0,0,1.0
3000,5,98,0,0,0,0,0,1,0,15,0.0,1,1.0
5000,5,242,0,0,0,0,0,1,0,25,0.0,1,1.0
6000,8,177,0,0,1,0,0,0,1,25,0.0,1,1.0
3000,4,129,0,0,0,1,0,0,1,10,0.0,1,1.0
5000,7,125,0,0,0,1,0,0,0,16,0.0,1,0.0
3000,5,123,0,0,0,0,1,0,0,19,1.0,1,1.0
3000,7,213,0,0,1,0,0,0,0,20,0.0,1,1.0
5500,6,148,1,0,0,0,0,0,1,22,1.0,1,1.0
1500,1,116,1,0,0,0,0,0,1,17,0.0,0,1.0
4000,6,123,1,0,0,0,0,0,1,17,0.0,0,1.0
4500,7,165,0,0,0,0,0,1,0,17,1.0,0,1.0
4000,5,200,1,0,0,0,0,0,0,23,0.0,1,1.0
3000,3,133,0,0,1,0,0,0,0,19,1.0,1,1.0
3000,5,205,0,0,0,0,0,1,0,13,1.0,1,1.0
5000,8,136,1,0,0,0,0,0,0,36,0.0,1,1.0
1000,4,156,1,0,0,0,0,0,0,31,1.0,1,1.0
1500,3,61,0,0,0,1,0,0,0,20,1.0,0,1.0
4000,6,109,0,0,0,1,0,0,0,16,1.0,1,1.0
5000,5,158,1,0,0,0,0,0,0,25,0.0,1,1.0
4500,4,112,0,0,0,0,0,1,0,21,0.0,1,1.0
4000,3,151,1,0,0,0,0,0,1,16,0.0,1,1.0
1500,3,130,1,0,0,0,0,0,1,28,0.0,1,1.0
6000,3,133,0,0,0,0,0,0,0,15,0.0,1,1.0
7200,5,88,0,1,0,0,0,0,0,21,0.0,0,1.0
6000,6,141,1,0,0,0,0,0,1,19,0.0,1,1.0
2000,4,123,1,0,0,0,0,0,0,22,1.0,1,1.0
1500,2,81,1,0,0,0,0,0,1,30,1.0,1,1.0
